YEAR,1_SELF_EMPLOY,2_NUM_OF_EMPLOYEES,3_TECH_ORG,4_MH_BEN_PROVIDED,5_AWARE_OF_MH_BENEFITS,6_EMPLOY_FORMALLY_DISCUSS_MH,7_EMPLOY_OFFER_RESOURCES,8_ANONIMITY_PROTECT,9_COMFORT_DISCUSS_SUPERVISOR,10_EVER_DISUSS_MH_w_EMPLOY,11_IMPORTANCE_EMPLOY_PHYS_HEALTH,12_IMPORTANCE_EMPLOY_MENTAL_HEALTH,13_IF_DIAGNOSED_MH_REVEAL_COWORK_EMPLOYEES,14_IF_REVEAL_DISORDER_HOW_IMPACT_RELATIONSHIP,15_CURRENT_MH_DISORDER,16_DIAGNOSED_MH_DISORDER,17_DISORDER_INTERFERE_WITH_WORK_WHEN_TREATED,18_DISORDER_INTERFERE_WITH_WORK_WHEN_NOT_TREATED,19_TECH_SUPPORT_EMPLOYEE_w_MH_DISORDER,20_AGE,21_GENDER,22_COUNTRY,23_STATE,24_RACE,25_COUNTRY_2
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",I'm not sure,Yes,Yes,Often,Often,2,29,,Canada,,,Canada
2017,0,More than 1000,0,Not eligible for coverage / NA,No,No,I don't know,I don't know,Maybe,0,2,2,,,Yes,Yes,Sometimes,Often,3,28,f,United States of America,Tennessee,More than one of the above,United States of America
2017,0,25-Jun,0,No,No,No,No,I don't know,No,0,5,3,,,Yes,Yes,Rarely,Sometimes,1,34,Female,Japan,,,Japan
2017,0,26-100,1,Yes,Yes,No,No,No,Yes,0,10,0,,,Yes,Yes,Rarely,Sometimes,3,25,Male,United States of America,Minnesota,White,United States of America
2017,0,100-500,0,Yes,Yes,Yes,Yes,Yes,Maybe,0,7,5,,,Yes,Yes,Sometimes,Often,2,35,Male,United States of America,Kansas,White,United States of America
2017,1,,,,,,,,,,,,"No, because it doesn't matter",I'm not sure,No,,Rarely,Rarely,1,25,,Indonesia,,,Indonesia
2017,0,100-500,1,Yes,Yes,No,I don't know,I don't know,Yes,1,7,5,,,Possibly,,Rarely,Rarely,3,40,male,United States of America,Colorado,White,United States of America
2017,0,100-500,0,I don't know,No,No,I don't know,I don't know,Yes,1,5,5,,,Yes,Yes,Not applicable to me,Sometimes,2,32,M,United States of America,Virginia,I prefer not to answer,United States of America
2017,0,100-500,0,I don't know,No,No,I don't know,I don't know,No,0,4,2,,,No,,Rarely,Not applicable to me,2,39,Male,United States of America,Virginia,I prefer not to answer,United States of America
2017,0,500-1000,1,Yes,Yes,I don't know,I don't know,I don't know,Maybe,0,9,9,,,Yes,Yes,Never,Often,4,33,male,United States of America,Colorado,White,United States of America
2017,0,100-500,1,Yes,Yes,Yes,Yes,Yes,No,0,8,8,,,Possibly,,Often,Often,4,40,Male,United States of America,Virginia,Black or African American,United States of America
2017,0,500-1000,1,Yes,No,No,I don't know,Yes,Yes,1,5,4,,,Yes,Yes,Rarely,Sometimes,3,42,male,United States of America,Minnesota,I prefer not to answer,United States of America
2017,0,More than 1000,0,I don't know,No,I don't know,I don't know,I don't know,No,1,5,5,,,Yes,Yes,Sometimes,Often,3,32,Male,United States of America,Tennessee,White,United States of America
2017,0,More than 1000,0,Yes,Yes,No,Yes,No,No,1,8,0,,,Yes,Yes,Sometimes,Often,3,27,Female,United States of America,Illinois,White,United States of America
2017,1,,,,,,,,,,,,"No, because it would impact me negatively",Not applicable to me,Yes,Yes,Sometimes,Often,2,43,Female,United Kingdom,,,United Kingdom
2017,0,25-Jun,0,No,N/A,No,No,No,No,0,4,3,,,Possibly,,Often,Often,2,30,female,Indonesia,,,Indonesia
2017,0,26-100,0,I don't know,No,No,No,I don't know,Maybe,0,0,0,,,Yes,Yes,Sometimes,Sometimes,2,39,male,United States of America,Minnesota,White,United States of America
2017,0,25-Jun,1,Yes,No,No,I don't know,I don't know,No,0,6,7,,,Yes,Yes,Sometimes,Often,3,42,Female,United States of America,Illinois,White,United States of America
2017,0,25-Jun,1,Yes,Yes,Yes,No,Yes,Yes,1,10,8,,,Yes,Yes,Often,Often,3,37,Genderfluid,Canada,,,Canada
2017,0,500-1000,0,I don't know,Yes,No,I don't know,I don't know,No,1,6,2,,,Yes,Yes,Sometimes,Often,2,38,Female,United States of America,Wisconsin,White,United States of America
2017,0,More than 1000,1,I don't know,No,I don't know,I don't know,I don't know,Maybe,0,8,7,,,Don't Know,,Not applicable to me,Not applicable to me,4,47,Male,United Kingdom,,,United Kingdom
2017,0,500-1000,1,I don't know,No,Yes,Yes,I don't know,No,0,5,2,,,Yes,Yes,Rarely,Sometimes,3,64,male,United Kingdom,,,United Kingdom
2017,0,100-500,0,No,Yes,No,No,I don't know,No,0,8,3,,,Yes,Yes,Sometimes,Often,2,28,Male,Canada,,,Canada
2017,1,,,,,,,,,,,,"No, because it would impact me negatively",Not applicable to me,Possibly,,Not applicable to me,Sometimes,2,45,Male,United States of America,California,White,United States of America
2017,0,100-500,1,Yes,Yes,Yes,I don't know,Yes,Maybe,0,7,7,,,No,,Not applicable to me,Not applicable to me,2,37,M,United Kingdom,,,United Kingdom
2017,0,26-100,1,Yes,Yes,Yes,Yes,I don't know,Yes,1,9,9,,,Yes,Yes,Sometimes,Often,4,30,Female,United Kingdom,,,United Kingdom
2017,0,100-500,0,I don't know,No,No,No,I don't know,Yes,0,5,5,,,No,,Not applicable to me,Not applicable to me,3,25,Male,United Kingdom,,,United Kingdom
2017,0,26-100,1,No,N/A,No,Yes,Yes,Maybe,0,10,10,,,Yes,No,Often,Often,3,25,Female,United Kingdom,,,United Kingdom
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",I'm not sure,Yes,Yes,Sometimes,Often,2,54,Female,United States of America,Minnesota,White,United States of America
2017,0,500-1000,1,Yes,Yes,Yes,Yes,I don't know,Yes,1,5,6,,,Yes,Yes,Rarely,Rarely,3,61,Male,United Kingdom,,,United Kingdom
2017,0,More than 1000,1,No,No,No,No,I don't know,Maybe,0,8,4,,,No,,Not applicable to me,Not applicable to me,3,26,male,India,,,India
2017,0,More than 1000,0,Yes,Yes,Yes,Yes,I don't know,No,1,2,2,,,Yes,Yes,Sometimes,Often,2,44,Female,United States of America,Ohio,White,United States of America
2017,0,25-Jun,1,No,No,No,No,I don't know,Yes,0,0,0,,,Yes,Yes,Sometimes,Often,2,26,male,Portugal,,,Portugal
2017,0,26-100,1,Yes,No,No,No,I don't know,Yes,1,9,7,,,Yes,Yes,Often,Often,3,26,Female,Portugal,,,Portugal
2017,0,25-Jun,1,I don't know,No,No,I don't know,Yes,Yes,0,7,5,,,No,,Sometimes,Sometimes,4,35,female,United States of America,Washington,White,United States of America
2017,0,26-100,1,Yes,Yes,No,No,I don't know,Maybe,0,5,2,,,No,,Not applicable to me,Not applicable to me,1,45,Male,United States of America,Maryland,White,United States of America
2017,0,26-100,1,I don't know,No,No,No,I don't know,Yes,0,3,2,,,No,,Not applicable to me,Not applicable to me,3,23,Male,United States of America,Minnesota,White,United States of America
2017,0,More than 1000,0,Yes,Yes,I don't know,I don't know,I don't know,Yes,0,7,5,,,Don't Know,,Not applicable to me,Not applicable to me,3,44,Male,United States of America,Ohio,White,United States of America
2017,0,More than 1000,0,Yes,No,Yes,Yes,Yes,Yes,0,5,5,,,Possibly,,Rarely,Sometimes,3,38,male,United States of America,Ohio,White,United States of America
2017,0,500-1000,0,Yes,Yes,Yes,Yes,Yes,Yes,1,8,8,,,No,,Rarely,Often,2,46,Male,United States of America,Ohio,White,United States of America
2017,0,500-1000,0,Yes,No,Yes,I don't know,I don't know,Maybe,1,5,5,,,Yes,Yes,Sometimes,Often,2,27,Nonbinary,United States of America,Ohio,White,United States of America
2017,0,100-500,0,Yes,Yes,I don't know,Yes,Yes,Maybe,1,7,2,,,Yes,Yes,Rarely,Often,2,39,female,United States of America,Ohio,I prefer not to answer,United States of America
2017,0,26-100,1,I don't know,No,No,No,I don't know,No,0,10,2,,,Possibly,,Sometimes,Often,1,33,Female ,United States of America,Montana,White,United States of America
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",No change,Yes,Yes,Sometimes,Often,1,38,female,United States of America,Colorado,,United States of America
2017,0,26-100,0,Not eligible for coverage / NA,N/A,No,No,I don't know,No,0,9,4,,,No,,Not applicable to me,Not applicable to me,1,35,Male,United Kingdom,,,United Kingdom
2017,0,More than 1000,1,No,No,No,No,I don't know,No,1,7,3,,,Yes,Yes,Sometimes,Rarely,3,32,male,Czech Republic,,,Germany
2017,0,More than 1000,1,Yes,Yes,I don't know,No,I don't know,No,1,5,5,,,Yes,Yes,Rarely,Often,2,26,Female,United States of America,California,Asian,United States of America
2017,0,100-500,1,Yes,Yes,No,I don't know,I don't know,Maybe,0,4,3,,,Yes,Yes,Rarely,Often,2,50,cis-male,United States of America,Pennsylvania,,United States of America
2017,0,100-500,1,I don't know,Yes,I don't know,I don't know,I don't know,Yes,0,9,8,,,Yes,Yes,Rarely,Not applicable to me,4,31,Male,United States of America,Utah,White,United States of America
2017,0,More than 1000,1,I don't know,No,Yes,I don't know,I don't know,Maybe,0,8,3,,,Don't Know,,Not applicable to me,Not applicable to me,2,46,Male,Romania,,,Romania
2017,0,26-100,1,Yes,No,No,No,Yes,No,0,7,4,,,Yes,Yes,Rarely,Often,2,30,Male,United States of America,California,White,United States of America
2017,0,More than 1000,1,Yes,No,No,I don't know,I don't know,Maybe,0,8,5,,,Yes,Yes,Sometimes,Often,2,30,Mail,United States of America,Minnesota,White,United States of America
2017,0,100-500,1,No,No,No,No,I don't know,Yes,1,8,4,,,Yes,Yes,Rarely,Often,3,34,male,Germany,,,Germany
2017,0,More than 1000,0,Yes,Yes,Yes,Yes,Yes,No,0,8,4,,,No,,Not applicable to me,Not applicable to me,1,42,Male,United Kingdom,,,United Kingdom
2017,0,More than 1000,1,Yes,Yes,Yes,Yes,No,Maybe,1,8,6,,,Yes,Yes,Sometimes,Often,3,24,Female,United States of America,Washington,White,United States of America
2017,1,,,,,,,,,,,,"No, because it would impact me negatively",Negatively,Yes,Yes,Sometimes,Often,2,30,Male,United States of America,Texas,White,United States of America
2017,0,26-100,1,Yes,Yes,Yes,I don't know,I don't know,Maybe,1,8,7,,,Don't Know,,Not applicable to me,Not applicable to me,4,23,Male,Canada,,,Canada
2017,0,100-500,1,Yes,Yes,No,No,I don't know,No,0,10,6,,,Yes,Yes,Rarely,Often,2,31,female,United States of America,California,White,United States of America
2017,0,26-100,1,No,No,No,No,I don't know,No,0,2,6,,,Possibly,,Rarely,Sometimes,3,31,male,Finland,,,Finland
2017,0,100-500,1,Yes,Yes,No,I don't know,I don't know,Maybe,1,5,4,,,Yes,Yes,Sometimes,Often,2,27,Woman,United States of America,Illinois,White,United States of America
2017,1,,,,,,,,,,,,"No, because it doesn't matter",Negatively,No,,Not applicable to me,Not applicable to me,1,26,Male,Pakistan,,,Pakistan
2017,0,500-1000,0,Yes,Yes,No,Yes,I don't know,Maybe,0,10,1,,,No,,Not applicable to me,Not applicable to me,2,52,Female,United States of America,Washington,White,United States of America
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",Not applicable to me,Don't Know,,Not applicable to me,Not applicable to me,2,28,Male,Belgium,,,Portugal
2017,0,5-Jan,1,No,No,No,I don't know,I don't know,No,0,4,5,,,Possibly,,Rarely,Often,2,37,male,United States of America,Oregon,White,United States of America
2017,0,500-1000,0,No,N/A,Yes,Yes,No,Maybe,0,6,7,,,No,,Not applicable to me,Not applicable to me,3,37,male,Canada,,,Canada
2017,0,More than 1000,0,Yes,Yes,No,No,Yes,Yes,0,8,4,,,Yes,Yes,Rarely,Often,2,38,Male,United States of America,Oregon,White,United States of America
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",Positively,Yes,Yes,Sometimes,Often,2,57,Female,United States of America,Maryland,White,United States of America
2017,0,More than 1000,1,Yes,Yes,I don't know,I don't know,I don't know,Yes,1,7,5,,,Yes,Yes,Rarely,Sometimes,4,34,Male,United States of America,New York,White,United States of America
2017,0,More than 1000,1,Yes,Yes,No,Yes,I don't know,No,0,5,5,,,No,,Rarely,Sometimes,1,38,female,Germany,,,Germany
2017,0,26-100,1,I don't know,No,No,I don't know,Yes,Maybe,0,4,5,,,Possibly,,Rarely,Sometimes,2,30,Male,United States of America,Oregon,White,United States of America
2017,0,More than 1000,0,Yes,Yes,Yes,I don't know,Yes,No,0,8,7,,,Possibly,,Rarely,Rarely,2,52,Male,United States of America,Georgia,,United States of America
2017,1,,,,,,,,,,,,"No, because it would impact me negatively",Not applicable to me,Yes,Yes,Sometimes,Often,3,31,Female,United States of America,California,White,United States of America
2017,1,,,,,,,,,,,,Not applicable to me,Not applicable to me,No,,Not applicable to me,Not applicable to me,2,29,Male,Germany,,,Germany
2017,0,25-Jun,1,I don't know,No,No,No,I don't know,No,0,1,1,,,Don't Know,,Not applicable to me,Not applicable to me,2,26,Female,United Kingdom,,,United Kingdom
2017,0,26-100,0,Yes,No,No,No,Yes,Yes,0,7,5,,,Yes,Yes,Often,Sometimes,4,29,female,United States of America,Ohio,White,United States of America
2017,0,More than 1000,1,Yes,Yes,No,No,Yes,Yes,1,8,5,,,Yes,Yes,Often,Often,2,44,Male,United States of America,Washington,White,United States of America
2017,1,,,,,,,,,,,,Not applicable to me,Not applicable to me,Possibly,,Not applicable to me,Not applicable to me,2,18,male/androgynous ,Canada,,,Canada
2017,0,More than 1000,1,Not eligible for coverage / NA,N/A,Yes,I don't know,Yes,Yes,1,7,7,,,Yes,Yes,Rarely,Sometimes,1,42,Male,Australia,,,Australia
2017,0,25-Jun,0,Yes,Yes,No,No,Yes,No,0,7,6,,,Possibly,,Sometimes,Often,3,30,Male,United States of America,Tennessee,White,United States of America
2017,0,100-500,1,Yes,No,Yes,Yes,I don't know,Yes,1,6,7,,,Yes,Yes,Never,Sometimes,2,29,M,United States of America,New York,White,United States of America
2017,0,More than 1000,1,Yes,Yes,Yes,Yes,I don't know,Yes,1,7,4,,,Yes,Yes,Sometimes,Often,3,27,Female,United States of America,Texas,White,United States of America
2017,0,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Maybe,1,9,7,,,Yes,Yes,Rarely,Often,3,39,Male,United States of America,Washington,White,United States of America
2017,0,100-500,1,Yes,Yes,Yes,No,Yes,Yes,1,5,5,,,No,,Not applicable to me,Not applicable to me,2,40,female,United States of America,California,,United States of America
2017,0,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Maybe,0,7,4,,,Possibly,,Sometimes,Sometimes,4,36,female,United States of America,Pennsylvania,Asian,United States of America
2017,1,,,,,,,,,,,,Not applicable to me,Not applicable to me,Don't Know,,Sometimes,Sometimes,3,48,female,United States of America,California,White,United States of America
2017,0,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Yes,0,7,7,,,Don't Know,,Not applicable to me,Not applicable to me,3,43,male,United States of America,Colorado,White,United States of America
2017,0,100-500,1,Yes,Yes,I don't know,Yes,Yes,Maybe,1,8,6,,,Yes,Yes,Sometimes,Often,2,38,Man,United States of America,New Mexico,White,United States of America
2017,0,26-100,1,I don't know,No,No,No,I don't know,Yes,0,6,6,,,No,,Not applicable to me,Not applicable to me,3,42,Male,United States of America,California,White,United States of America
2017,0,500-1000,1,No,N/A,Yes,Yes,Yes,Maybe,1,8,5,,,Yes,Yes,Sometimes,Often,1,46,Male,United Kingdom,,,United Kingdom
2017,0,More than 1000,0,Yes,Yes,No,Yes,Yes,No,0,5,7,,,Yes,No,Sometimes,Often,3,30,male,United States of America,Virginia,White,United States of America
2017,0,25-Jun,0,No,Yes,No,No,No,No,0,4,0,,,Yes,Yes,Rarely,Often,3,25,Male,United Kingdom,,,United Kingdom
2017,0,500-1000,1,Yes,Yes,Yes,Yes,Yes,Maybe,0,9,9,,,Don't Know,,Not applicable to me,Not applicable to me,3,28,,Canada,,,Canada
2017,0,100-500,1,Yes,Yes,No,No,I don't know,Maybe,0,5,5,,,Possibly,,Not applicable to me,Not applicable to me,2,24,Female,Germany,,,Germany
2017,0,5-Jan,1,I don't know,No,No,No,I don't know,Yes,0,3,6,,,No,,Not applicable to me,Not applicable to me,4,26,male,United Kingdom,,,United Kingdom
2017,0,More than 1000,1,Yes,Yes,No,Yes,I don't know,Maybe,0,5,1,,,Yes,Yes,Sometimes,Often,2,43,cis hetero male,United States of America,North Carolina,White,United States of America
2017,0,More than 1000,0,Yes,Yes,No,Yes,I don't know,No,0,8,5,,,Yes,Yes,Often,Often,2,25,Female,United States of America,New York,I prefer not to answer,United States of America
2017,0,More than 1000,0,Yes,No,Yes,I don't know,I don't know,No,0,7,6,,,Yes,Yes,Rarely,Often,3,34,male,United States of America,Arizona,White,United States of America
2017,0,26-100,1,Yes,Yes,Yes,I don't know,Yes,No,0,8,8,,,No,,Not applicable to me,Not applicable to me,3,28,female,United States of America,District of Columbia,Asian,United States of America
2017,0,26-100,1,No,N/A,No,No,Yes,Yes,1,5,5,,,Yes,Yes,Sometimes,Often,3,27,Male,South Africa,,,South Africa
2017,0,26-100,1,No,No,Yes,Yes,Yes,Maybe,0,6,8,,,Don't Know,,Sometimes,Sometimes,3,22,Male,India,,,India
2017,0,26-100,1,I don't know,No,No,Yes,Yes,No,0,8,5,,,No,,Not applicable to me,Not applicable to me,5,24,female,Romania,,,Romania
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",Negatively,Yes,No,Sometimes,Often,1,33,female,Pakistan,,,Pakistan
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",I'm not sure,Possibly,,Not applicable to me,Often,2,41,m,Germany,,,Germany
2017,0,26-100,1,No,N/A,No,I don't know,I don't know,No,0,2,1,,,Possibly,,Often,Often,2,26,Female,United Kingdom,,,United Kingdom
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",Positively,Yes,Yes,Rarely,Often,1,39,Male,United States of America,California,White,United States of America
2017,0,5-Jan,1,I don't know,No,No,No,I don't know,Maybe,1,1,7,,,Possibly,,Not applicable to me,Often,3,24,male,United States of America,Tennessee,White,United States of America
2017,0,More than 1000,1,I don't know,No,No,No,I don't know,No,1,5,3,,,Yes,Yes,Sometimes,Sometimes,2,54,Male,United States of America,Washington,White,United States of America
2017,0,More than 1000,0,Yes,Yes,Yes,Yes,I don't know,Yes,1,7,5,,,Yes,Yes,Sometimes,Sometimes,2,47,m,United States of America,Ohio,White,United States of America
2017,0,More than 1000,1,No,N/A,No,No,I don't know,Yes,1,8,5,,,No,,Not applicable to me,Not applicable to me,3,33,Male,Sweden,,,Sweden
2017,0,100-500,1,Yes,Yes,No,No,Yes,Yes,1,6,3,,,Yes,Yes,Rarely,Often,2,30,,United States of America,Utah,White,United States of America
2017,0,More than 1000,0,Yes,Yes,No,I don't know,I don't know,No,0,5,5,,,Possibly,,Rarely,Rarely,3,48,Male,United States of America,Massachusetts,White,United States of America
2017,0,More than 1000,1,I don't know,No,I don't know,Yes,Yes,Yes,1,6,3,,,Possibly,,Sometimes,Often,3,35,male,United States of America,Idaho,White,United States of America
2017,0,26-100,0,I don't know,No,No,I don't know,I don't know,Yes,0,5,5,,,No,,Not applicable to me,Not applicable to me,2,34,Male,United States of America,Tennessee,White,United States of America
2017,1,,,,,,,,,,,,Not applicable to me,Not applicable to me,No,,Not applicable to me,Not applicable to me,2,31,Male,Serbia,,,Serbia
2017,0,500-1000,1,Yes,Yes,No,No,Yes,Maybe,0,8,7,,,Possibly,,Not applicable to me,Not applicable to me,3,25,male,United States of America,Tennessee,White,United States of America
2017,0,More than 1000,1,No,No,No,No,I don't know,No,0,5,5,,,Yes,Yes,Never,Sometimes,2,48,male,Spain,,,Spain
2017,0,100-500,0,Yes,No,Yes,I don't know,I don't know,Maybe,0,7,5,,,Yes,Yes,Rarely,Often,3,34,Male,United States of America,California,White,United States of America
2017,0,100-500,1,Yes,Yes,No,No,I don't know,No,0,2,1,,,No,,Rarely,Sometimes,1,42,M,United States of America,California,White,United States of America
2017,0,100-500,1,I don't know,No,No,No,I don't know,Maybe,0,5,5,,,Yes,Yes,Rarely,Often,2,27,Male,United States of America,Illinois,White,United States of America
2017,0,More than 1000,1,Yes,Yes,No,No,Yes,Yes,1,8,5,,,Possibly,,Sometimes,Often,3,33,Female,United States of America,California,White,United States of America
2017,0,26-100,1,Yes,Yes,No,I don't know,I don't know,Maybe,0,5,4,,,Yes,Yes,Rarely,Often,3,27,Female,United States of America,Maryland,Black or African American,United States of America
2017,0,500-1000,1,Yes,No,No,No,I don't know,No,0,4,3,,,Possibly,,Sometimes,Rarely,1,48,m,United States of America,Minnesota,White,United States of America
2017,0,More than 1000,1,Yes,Yes,No,No,Yes,Maybe,1,5,3,,,Yes,Yes,Sometimes,Often,2,32,f,United States of America,Virginia,White,United States of America
2017,0,100-500,1,Yes,No,Yes,I don't know,I don't know,Maybe,1,7,6,,,Yes,Yes,Sometimes,Often,2,29,Male,United States of America,Texas,White,United States of America
2017,1,,,,,,,,,,,,"Yes, always",I'm not sure,Yes,No,Rarely,Often,2,36,Female,United States of America,Minnesota,Asian,United States of America
2017,1,,,,,,,,,,,,"Sometimes, if it comes up",I'm not sure,Yes,Yes,Never,Sometimes,2,29,Female,United Kingdom,,,United Kingdom
2017,0,100-500,1,I don't know,No,No,No,I don't know,Yes,0,7,7,,,Possibly,,Sometimes,Sometimes,4,23,female,Canada,,,Canada
2017,0,More than 1000,0,Yes,No,I don't know,Yes,Yes,Maybe,0,7,7,,,Possibly,,Rarely,Sometimes,3,50,Female,United States of America,Texas,White,United States of America
2017,1,,,,,,,,,,,,"Yes, always",Positively,No,,Never,Never,1,24,female,Jordan,,,Jordan
